,Pokemon Number,Stat Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Mega,First Type,Second Type,Species,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,Is Sub Legendary,Is Legendary,Is Mythical
Guzzlord,799,570,223,101,53,97,53,43,False,2,3,Junkivore Pokémon,20,153,153,7,13,12,True,False,False
Necrozma,800,600,97,107,101,127,89,79,False,16,13,Prism Pokémon,177,153,153,7,13,12,False,True,False
Necrozma(Dusk Mane Necrozma),800,680,97,157,127,113,109,77,False,16,18,Prism Pokémon,177,153,153,7,13,12,False,True,False
Necrozma(Dawn Wings Necrozma),800,680,97,113,109,157,127,77,False,16,9,Prism Pokémon,177,153,153,7,13,12,False,True,False
Necrozma(Ultra Necrozma),800,754,97,167,97,167,97,129,False,16,3,Prism Pokémon,150,153,153,7,13,12,False,True,False
Magearna,801,600,80,95,115,130,115,65,False,18,5,Artificial Pokémon,230,153,153,7,13,12,False,False,True
Marshadow,802,600,90,125,80,90,90,125,False,6,9,Gloomdweller Pokémon,261,153,153,7,13,12,False,False,True
Poipole,803,420,67,73,67,73,67,73,False,15,13,Poison Pin Pokémon,20,153,153,7,13,12,True,False,False
Naganadel,804,540,73,73,73,127,73,121,False,15,3,Poison Pin Pokémon,20,153,153,7,13,12,True,False,False
Stakataka,805,570,61,131,211,53,101,13,False,17,18,Rampart Pokémon,20,153,153,7,13,12,True,False,False
Blacephalon,806,570,53,127,53,151,79,107,False,7,9,Fireworks Pokémon,20,153,153,7,13,12,True,False,False
Zeraora,807,600,88,112,75,102,80,143,False,4,13,Thunderclap Pokémon,283,153,153,7,13,12,False,False,True
Meltan,808,300,46,65,65,55,35,34,False,18,13,Hex Nut Pokémon,133,153,153,7,13,12,False,False,True
Melmetal,809,600,135,143,143,80,65,34,False,18,13,Hex Nut Pokémon,115,153,153,7,13,12,False,False,True
Grookey,810,310,50,65,50,40,40,65,False,10,13,Chimp Pokémon,159,153,85,8,6,8,False,False,False
Thwackey,811,420,70,85,70,55,60,80,False,10,13,Beat Pokémon,159,153,85,8,6,8,False,False,False
Rillaboom,812,530,100,125,90,60,70,85,False,10,13,Drummer Pokémon,159,153,85,8,6,8,False,False,False
Scorbunny,813,310,50,71,40,40,40,69,False,7,13,Rabbit Pokémon,23,153,121,8,6,9,False,False,False
Raboot,814,420,65,86,60,55,60,94,False,7,13,Rabbit Pokémon,23,153,121,8,6,9,False,False,False
Cinderace,815,530,80,116,75,65,75,119,False,7,13,Striker Pokémon,23,153,121,8,6,9,False,False,False
Sobble,816,310,50,40,40,70,40,70,False,19,13,Water Lizard Pokémon,267,153,225,8,6,14,False,False,False
Drizzile,817,420,65,60,55,95,55,90,False,19,13,Water lizard Pokémon,267,153,225,8,6,14,False,False,False
Inteleon,818,530,70,85,65,125,65,120,False,19,13,Secret Agent Pokémon,267,153,225,8,6,14,False,False,False
Skwovet,819,275,70,55,55,35,35,25,False,14,13,Cheeky Pokémon,25,153,80,8,6,12,False,False,False
Greedent,820,460,120,95,95,55,75,20,False,14,13,Greedy Pokémon,25,153,80,8,6,12,False,False,False
Rookidee,821,245,38,47,35,33,35,57,False,8,13,Tiny Bird Pokémon,117,278,22,8,7,12,False,False,False
Corvisquire,822,365,68,67,55,43,55,77,False,8,13,Raven Pokémon,117,278,22,8,7,12,False,False,False
Corviknight,823,495,98,87,105,53,85,67,False,8,18,Raven Pokémon,175,278,139,8,7,12,False,False,False
Blipbug,824,180,25,20,20,25,45,45,False,1,13,Larva Pokémon,252,34,262,8,2,12,False,False,False
Dottler,825,335,50,35,80,50,90,30,False,1,16,Radome Pokémon,252,34,262,8,2,12,False,False,False
Orbeetle,826,505,60,45,110,80,120,90,False,1,16,Seven Spot Pokémon,252,75,262,8,2,12,False,False,False
Nickit,827,245,40,28,28,47,52,50,False,2,13,Fox Pokémon,201,277,233,8,6,12,False,False,False
Thievul,828,455,70,58,58,87,92,90,False,2,13,Fox Pokémon,201,277,233,8,6,12,False,False,False
Gossifleur,829,250,40,40,60,40,60,10,False,10,13,Flowering Pokémon,38,195,60,8,8,12,False,False,False
Eldegoss,830,460,60,50,90,80,120,60,False,10,13,Cotton Bloom Pokémon,38,195,60,8,8,12,False,False,False
Wooloo,831,270,42,40,55,40,45,48,False,14,13,Sheep Pokémon,71,201,24,8,6,12,False,False,False
Dubwool,832,490,72,80,100,60,90,88,False,14,13,Sheep Pokémon,71,239,24,8,6,12,False,False,False
Chewtle,833,284,50,64,50,38,38,44,False,19,13,Snapping Pokémon,246,218,254,8,11,14,False,False,False
Drednaw,834,485,90,115,90,48,68,74,False,19,17,Bite Pokémon,246,218,254,8,11,14,False,False,False
Yamper,835,270,59,45,50,40,50,26,False,4,13,Puppy Pokémon,15,153,191,8,6,12,False,False,False
Boltund,836,490,69,90,60,90,60,121,False,4,13,Dog Pokémon,246,153,33,8,6,12,False,False,False
Rolycoly,837,240,30,40,50,40,50,30,False,17,13,Coal Pokémon,240,93,68,8,10,12,False,False,False
Carkol,838,410,80,60,90,60,70,50,False,17,7,Coal Pokémon,240,66,68,8,10,12,False,False,False
Coalossal,839,510,110,80,120,80,90,30,False,17,7,Coal Pokémon,240,66,68,8,10,12,False,False,False
Applin,840,260,40,40,80,40,40,20,False,10,3,Apple Core Pokémon,196,80,24,8,4,8,False,False,False
Flapple,841,485,70,110,80,95,60,70,False,10,3,Apple Wing Pokémon,196,80,98,8,4,8,False,False,False
Appletun,842,485,110,85,80,100,80,30,False,10,3,Apple Nectar Pokémon,196,80,265,8,4,8,False,False,False
Silicobra,843,315,52,57,75,35,50,46,False,11,13,Sand Snake Pokémon,204,216,206,8,4,6,False,False,False
Sandaconda,844,510,72,107,125,65,70,71,False,11,13,Sand Snake Pokémon,204,216,206,8,4,6,False,False,False
Cramorant,845,475,70,85,55,85,95,85,False,8,19,Gulp Pokémon,88,153,153,8,7,14,False,False,False
Arrokuda,846,280,41,63,40,40,30,66,False,19,13,Rush Pokémon,254,153,178,8,15,12,False,False,False
Barraskewda,847,490,61,123,60,60,50,136,False,19,13,Skewer Pokémon,254,153,178,8,15,12,False,False,False
Toxel,848,242,40,38,35,54,35,40,False,4,15,Baby Pokémon,191,238,118,8,13,12,False,False,False
Toxtricity,849,502,75,98,70,114,70,75,False,4,15,Punk Pokémon,182,167,261,8,9,12,False,False,False
Toxtricity(Low Key Form),849,502,75,98,70,114,70,75,False,4,15,Punk Pokémon,182,138,261,8,9,12,False,False,False
Sizzlipede,850,305,50,65,45,50,50,45,False,7,1,Radiator Pokémon,68,291,66,8,2,12,False,False,False
Centiskorch,851,525,100,115,65,90,90,65,False,7,1,Radiator Pokémon,68,291,66,8,2,12,False,False,False
Clobbopus,852,310,50,68,60,50,50,32,False,6,13,Tantrum Pokémon,124,153,261,8,9,14,False,False,False
Grapploct,853,480,80,118,90,70,80,42,False,6,13,Tantrum Pokémon,124,153,261,8,9,14,False,False,False
Sinistea,854,308,40,45,45,74,54,50,False,9,13,Black Tea Pokémon,289,153,41,8,1,10,False,False,False
Polteageist,855,508,60,65,65,134,114,70,False,9,13,Black Tea Pokémon,289,153,41,8,1,10,False,False,False
Hatenna,856,265,42,30,45,56,53,39,False,16,13,Calm Pokémon,92,8,129,8,5,12,False,False,False
Hattrem,857,370,57,40,65,86,73,49,False,16,13,Serene Pokémon,92,8,129,8,5,12,False,False,False
Hatterene,858,510,57,90,95,136,103,29,False,16,5,Silent Pokémon,92,8,129,8,5,12,False,False,False
Impidimp,859,265,45,45,30,55,40,50,False,2,5,Wily Pokémon,174,75,164,8,5,9,False,False,False
Morgrem,860,370,65,60,45,75,55,70,False,2,5,Devious Pokémon,174,75,164,8,5,9,False,False,False
Grimmsnarl,861,510,95,120,65,95,75,60,False,2,5,Bulk Up Pokémon,174,75,164,8,5,9,False,False,False
Obstagoon,862,520,93,90,101,60,81,95,False,2,14,Blocking Pokémon,193,89,49,8,6,12,False,False,False
Perrserker,863,440,70,110,100,50,60,50,False,18,13,Viking Pokémon,17,268,242,8,6,12,False,False,False
Cursola,864,510,60,95,50,145,130,30,False,9,13,Coral Pokémon,289,153,163,8,14,16,False,False,False
Sirfetch'd,865,507,62,135,95,68,82,65,False,6,13,Wild Duck Pokémon,239,153,209,8,6,7,False,False,False
Mr. Rime,866,520,80,85,75,110,100,70,False,12,16,Comedian Pokémon,259,210,101,8,9,12,False,False,False
Runerigus,867,483,58,95,145,50,105,30,False,11,9,Grudge Pokémon,284,153,153,8,1,10,False,False,False
Milcery,868,270,45,40,40,50,61,34,False,5,13,Cream Pokémon,253,153,11,8,1,5,False,False,False
Alcremie,869,495,65,60,75,110,121,64,False,5,13,Cream Pokémon,253,153,11,8,1,5,False,False,False
Falinks,870,470,65,100,100,70,60,75,False,6,13,Formation Pokémon,17,153,49,8,5,10,False,False,False
Pincurchin,871,435,48,101,95,91,85,15,False,4,13,Sea Urchin Pokémon,123,153,61,8,1,14,False,False,False
Snom,872,185,30,25,35,45,30,20,False,12,1,Worm Pokémon,219,153,103,8,2,12,False,False,False
Frosmoth,873,475,70,65,60,125,90,65,False,12,1,Frost Moth Pokémon,219,153,103,8,2,12,False,False,False
Stonjourner,874,470,100,125,135,20,20,70,False,17,13,Big Rock Pokémon,172,153,153,8,10,12,False,False,False
Eiscue,875,470,75,80,110,65,90,50,False,12,13,Penguin Pokémon,102,153,153,8,6,14,False,False,False
Eiscue(Noice Face),875,470,75,80,70,65,50,130,False,12,13,Penguin Pokémon,102,153,153,8,6,14,False,False,False
Indeedee,876,475,60,65,55,105,95,95,False,16,14,Emotion Pokémon,110,257,181,8,5,12,False,False,False
Indeedee(Female),876,475,70,55,65,95,105,85,False,16,14,Emotion Pokémon,160,257,181,8,5,12,False,False,False
Morpeko,877,436,58,95,58,70,58,97,False,4,2,Two-Sided Pokémon,97,153,153,8,5,6,False,False,False
Morpeko(Hangry Mode),877,436,58,95,58,70,58,97,False,4,2,Two-Sided Pokémon,97,153,153,8,5,6,False,False,False
Cufant,878,330,72,80,49,40,49,40,False,18,13,Copperderm Pokémon,217,153,94,8,6,10,False,False,False
Copperajah,879,500,122,130,69,80,69,30,False,18,13,Copperderm Pokémon,217,153,94,8,6,10,False,False,False
Dracozolt,880,505,90,100,90,80,70,75,False,4,3,Fossil Pokémon,283,98,203,8,13,12,False,False,False
Arctozolt,881,505,90,100,90,90,80,55,False,4,12,Fossil Pokémon,283,238,224,8,13,12,False,False,False
Dracovish,882,505,90,90,100,70,80,75,False,19,3,Fossil Pokémon,285,246,203,8,13,12,False,False,False
Arctovish,883,505,90,90,100,80,90,55,False,19,12,Fossil Pokémon,285,101,224,8,13,12,False,False,False
Duraludon,884,535,70,95,115,120,50,85,False,18,3,Alloy Pokémon,122,94,235,8,4,10,False,False,False
Dreepy,885,270,28,60,30,40,30,82,False,3,9,Lingering Pokémon,28,108,41,8,1,4,False,False,False
Drakloak,886,410,68,80,50,60,50,102,False,3,9,Caretaker Pokémon,28,108,41,8,1,4,False,False,False
Dragapult,887,600,88,120,75,100,75,142,False,3,9,Stealth Pokémon,28,108,41,8,1,4,False,False,False
Zacian,888,660,92,120,115,80,115,138,False,5,13,Warrior Pokémon,113,153,153,8,13,12,False,True,False
Zacian(Crowned Sword),888,700,92,150,115,80,115,148,False,5,18,Warrior Pokémon,113,153,153,8,13,12,False,True,False
Zamazenta,889,660,92,120,115,80,115,138,False,6,13,Warrior Pokémon,46,153,153,8,13,12,False,True,False
Zamazenta(Crowned Shield),889,700,92,120,140,80,140,128,False,6,18,Warrior Pokémon,46,153,153,8,13,12,False,True,False
Eternatus,890,690,140,85,95,145,95,130,False,15,3,Gigantic Pokémon,175,153,153,8,13,12,False,True,False
Eternatus(Eternamax),890,1125,255,115,250,125,250,130,False,15,3,Gigantic Pokémon,153,153,153,8,13,12,False,True,False
Kubfu,891,385,60,90,60,53,50,72,False,6,13,Wushu Pokémon,110,153,153,8,13,12,True,False,False
Urshifu,892,550,100,130,100,63,60,97,False,6,2,Wushu Pokémon,279,153,153,8,13,12,True,False,False
Urshifu(Rapid Strike Style),892,550,100,130,100,63,60,97,False,6,19,Wushu Pokémon,279,153,153,8,13,12,True,False,False
Zarude,893,600,105,120,105,70,95,105,False,2,10,Rogue Monkey Pokémon,119,153,153,8,13,12,False,False,True
Regieleki,894,580,80,100,50,100,50,200,False,4,13,Electron Pokémon,272,153,153,8,13,12,True,False,False
Regidrago,895,580,200,100,50,100,50,80,False,3,13,Dragon Orb Pokémon,54,153,153,8,13,12,True,False,False
Glastrier,896,580,100,145,130,65,110,30,False,12,13,Wild Horse Pokémon,26,153,153,8,13,12,True,False,False
Spectrier,897,580,100,65,60,145,80,130,False,9,13,Swift Horse Pokémon,86,153,153,8,13,12,True,False,False
Calyrex,898,500,100,80,80,80,80,80,False,16,10,King Pokémon,278,153,153,8,13,12,False,True,False
Calyrex(Ice Rider),898,680,100,165,150,85,130,50,False,16,12,King Pokémon,12,153,153,8,13,12,False,True,False
Calyrex(Shadow Rider),898,680,100,85,80,165,100,150,False,16,9,King Pokémon,12,153,153,8,13,12,False,True,False
Wyrdeer,899,525,103,105,72,105,75,65,False,14,16,Big Horn Pokémon,112,75,207,8,6,12,False,False,False
Kleavor,900,500,70,130,95,45,75,85,False,1,17,Axe Pokémon,252,217,215,8,2,12,False,False,False
Ursaluna,901,550,130,140,105,45,80,50,False,11,14,Peat Pokémon,89,24,278,8,6,12,False,False,False
Basculegion,902,530,120,112,65,80,75,78,False,19,9,Big Fish Pokémon,254,1,141,8,15,12,False,False,False
Basculegion(Female),902,530,120,92,65,100,75,78,False,19,9,Big Fish Pokémon,254,1,141,8,15,12,False,False,False
Sneasler,903,510,80,130,60,40,80,120,False,15,6,Free Climb Pokémon,175,277,170,8,6,12,False,False,False
Overqwil,904,510,85,115,95,65,65,85,False,2,15,Pin Cluster Pokémon,169,254,112,8,15,12,False,False,False
Enamorus,905,580,74,115,70,135,80,106,False,5,8,Love-Hate Pokémon,42,153,35,8,13,12,True,False,False
Enamorus(Therian Forme),905,580,74,115,110,135,100,46,False,5,8,Love-Hate Pokémon,158,153,153,8,13,12,True,False,False
Sprigatito,906,310,40,61,54,45,45,65,False,10,13,Grass Cat Pokémon,159,153,179,9,6,8,False,False,False
Floragato,907,410,61,80,63,60,63,83,False,10,13,Grass Cat Pokémon,159,153,179,9,6,8,False,False,False
Meowscarada,908,530,76,110,70,81,70,123,False,10,2,Magician Pokémon,159,153,179,9,6,8,False,False,False
Fuecoco,909,310,67,45,59,63,40,36,False,7,13,Fire Croc Pokémon,23,153,276,9,6,12,False,False,False
Crocalor,910,411,81,55,78,90,58,49,False,7,13,Fire Croc Pokémon,23,153,276,9,6,12,False,False,False
Skeledirge,911,530,104,75,100,110,75,66,False,7,9,Singer Pokémon,23,153,276,9,6,12,False,False,False
Quaxly,912,310,55,65,45,50,45,50,False,19,13,Duckling Pokémon,267,153,144,9,7,14,False,False,False
Quaxwell,913,410,70,85,65,65,60,65,False,19,13,Practicing Pokémon,267,153,144,9,7,14,False,False,False
Quaquaval,914,530,85,120,80,85,75,85,False,19,6,Dancer Pokémon,267,153,144,9,7,14,False,False,False
Lechonk,915,254,54,45,40,35,45,35,False,14,13,Hog Pokémon,11,80,265,9,6,12,False,False,False
Oinkologne,916,489,110,100,75,59,80,65,False,14,13,Hog Pokémon,125,80,265,9,6,12,False,False,False
Oinkologne(Female),916,489,115,90,70,59,90,65,False,14,13,Hog Pokémon,11,80,265,9,6,12,False,False,False
Tarountula,917,210,35,41,45,29,40,20,False,1,13,String Ball Pokémon,111,153,233,9,2,12,False,False,False
Spidops,918,404,60,79,92,52,86,35,False,1,13,Trap Pokémon,111,153,233,9,2,12,False,False,False
Nymble,919,210,33,46,40,21,25,45,False,1,13,Grasshopper Pokémon,252,153,266,9,2,12,False,False,False
Lokix,920,450,71,102,78,52,55,92,False,1,2,Grasshopper Pokémon,252,153,266,9,2,12,False,False,False
Pawmi,921,240,45,50,20,40,25,60,False,4,13,Mouse Pokémon,238,149,115,9,6,12,False,False,False
Pawmo,922,350,60,75,40,50,40,85,False,4,6,Mouse Pokémon,283,149,115,9,6,12,False,False,False
Pawmot,923,490,70,115,70,70,60,105,False,4,6,Hands-On Pokémon,283,149,115,9,6,12,False,False,False
Tandemaus,924,305,50,50,45,40,45,75,False,14,13,Couple Pokémon,201,165,160,9,5,6,False,False,False
Maushold,925,470,74,75,70,65,75,111,False,14,13,Family Pokémon,74,25,261,9,5,6,False,False,False
Maushold(Family of Four),925,470,74,75,70,65,75,111,False,14,13,Family Pokémon,74,25,261,9,5,6,False,False,False
Fidough,926,312,37,55,70,30,55,65,False,5,13,Puppy Pokémon,160,153,118,9,6,10,False,False,False
Dachsbun,927,477,57,80,115,50,80,95,False,5,13,Dog Pokémon,290,153,11,9,6,10,False,False,False
Smoliv,928,260,41,35,45,58,51,30,False,10,14,Olive Pokémon,58,153,91,9,8,12,False,False,False
Dolliv,929,354,52,53,60,78,78,33,False,10,14,Olive Pokémon,58,153,91,9,8,12,False,False,False
Arboliva,930,510,78,69,90,125,109,39,False,10,14,Olive Pokémon,211,153,91,9,8,12,False,False,False
Squawkabilly,931,417,82,96,51,45,51,92,False,14,8,Parrot Pokémon,112,98,89,9,7,12,False,False,False
Squawkabilly(Blue Plumage),931,417,82,96,51,45,51,92,False,14,8,Parrot Pokémon,112,98,89,9,7,12,False,False,False
Squawkabilly(Yellow Plumage),931,417,82,96,51,45,51,92,False,14,8,Parrot Pokémon,112,98,217,9,7,12,False,False,False
Squawkabilly(White Plumage),931,417,82,96,51,45,51,92,False,14,8,Parrot Pokémon,112,98,217,9,7,12,False,False,False
Nacli,932,280,55,55,75,35,35,25,False,17,13,Rock Salt Pokémon,184,247,28,9,10,12,False,False,False
Naclstack,933,355,60,60,100,35,65,35,False,17,13,Rock Salt Pokémon,184,247,28,9,10,12,False,False,False
Garganacl,934,500,100,100,130,45,90,35,False,17,13,Rock Salt Pokémon,184,247,28,9,10,12,False,False,False
Charcadet,935,255,40,50,40,50,40,35,False,7,13,Fire Child Pokémon,68,153,66,9,9,12,False,False,False
Armarouge,936,525,85,60,100,125,80,75,False,7,16,Fire Warrior Pokémon,68,153,289,9,9,12,False,False,False
Ceruledge,937,525,75,125,80,60,100,85,False,7,9,Fire Blades Pokémon,68,153,289,9,9,12,False,False,False
Tadbulb,938,272,61,31,41,59,35,45,False,4,13,EleTadpole Pokémon,160,238,43,9,14,12,False,False,False
Bellibolt,939,495,109,64,91,103,83,45,False,4,13,EleFrog Pokémon,62,238,43,9,14,12,False,False,False
Wattrel,940,280,40,40,35,55,40,70,False,4,8,Storm Petrel Pokémon,293,283,33,9,7,14,False,False,False
Kilowattrel,941,490,70,70,60,105,60,125,False,4,8,Frigatebird Pokémon,293,283,33,9,7,14,False,False,False
Maschiff,942,340,60,78,60,40,51,51,False,2,13,Rascal Pokémon,112,201,233,9,6,12,False,False,False
Mabosstiff,943,505,80,120,90,60,70,85,False,2,13,Boss Pokémon,112,87,233,9,6,12,False,False,False
Shroodle,944,290,40,65,35,40,35,75,False,15,14,Toxic Mouse Pokémon,277,164,174,9,6,12,False,False,False
Grafaiai,945,485,63,95,65,80,72,110,False,15,14,Toxic Monkey Pokémon,277,170,174,9,6,12,False,False,False
Bramblin,946,275,40,65,30,45,35,60,False,10,9,Tumbleweed Pokémon,294,153,108,9,8,12,False,False,False
Brambleghast,947,480,55,115,70,80,70,90,False,10,9,Tumbleweed Pokémon,294,153,108,9,8,12,False,False,False
Toedscool,948,335,40,40,35,50,100,70,False,11,10,Woodear Pokémon,148,153,153,9,8,12,False,False,False
Toedscruel,949,515,80,70,65,80,120,100,False,11,10,Woodear Pokémon,148,153,153,9,8,12,False,False,False
Klawf,950,450,70,100,115,35,55,75,False,17,13,Ambush Pokémon,7,218,195,9,16,12,False,False,False
Capsakid,951,304,50,62,40,62,40,50,False,10,13,Spicy Pepper Pokémon,27,111,118,9,8,12,False,False,False
Scovillain,952,486,65,108,65,108,65,75,False,10,7,Spicy Pepper Pokémon,27,111,142,9,8,12,False,False,False
Rellor,953,270,41,50,60,31,58,30,False,1,13,Rolling Pokémon,34,153,216,9,2,12,False,False,False
Rabsca,954,470,75,50,85,115,100,45,False,1,16,Rolling Pokémon,257,153,262,9,2,12,False,False,False
Flittle,955,255,30,35,30,55,30,75,False,16,13,Frill Pokémon,8,75,232,9,7,12,False,False,False
Espathra,956,481,95,60,60,101,60,105,False,16,13,Ostrich Pokémon,156,75,232,9,7,12,False,False,False
Tinkatink,957,297,50,45,45,35,64,58,False,5,18,Metalsmith Pokémon,141,160,164,9,5,12,False,False,False
Tinkatuff,958,380,65,55,55,45,82,78,False,5,18,Hammer Pokémon,141,160,164,9,5,12,False,False,False
Tinkaton,959,506,85,75,77,70,105,94,False,5,18,Hammer Pokémon,141,160,164,9,5,12,False,False,False
Wiglett,960,245,10,55,25,35,25,95,False,19,13,Garden Eel Pokémon,82,191,206,9,16,12,False,False,False
Wugtrio,961,425,35,100,50,50,70,120,False,19,13,Garden Eel Pokémon,82,191,206,9,16,12,False,False,False
Bombirdier,962,485,70,103,85,60,85,82,False,8,2,Item Drop Pokémon,22,117,199,9,7,12,False,False,False
Finizen,963,315,70,45,40,45,40,75,False,19,13,Dolphin Pokémon,288,153,153,9,6,15,False,False,False
Palafin,964,457,100,70,72,53,62,100,False,19,13,Dolphin Pokémon,298,153,153,9,6,15,False,False,False
Palafin(Hero Form),964,650,100,160,97,106,87,100,False,19,13,Dolphin Pokémon,298,153,153,9,6,15,False,False,False
Varoom,965,300,45,70,63,30,45,47,False,18,15,Single-Cyl Pokémon,158,153,223,9,10,12,False,False,False
Revavroom,966,500,80,119,90,54,67,90,False,18,15,Multi-Cyl Pokémon,158,153,65,9,10,12,False,False,False
Cyclizar,967,501,70,95,65,85,65,121,False,3,14,Mount Pokémon,216,153,195,9,6,12,False,False,False
Orthworm,968,480,70,85,145,60,55,65,False,18,13,Earthworm Pokémon,59,153,206,9,6,12,False,False,False
Glimmet,969,350,48,35,42,105,60,60,False,17,15,Ore Pokémon,270,153,36,9,10,12,False,False,False
Glimmora,970,525,83,55,90,130,81,86,False,17,15,Ore Pokémon,270,153,36,9,10,12,False,False,False
Greavard,971,290,50,61,60,30,55,34,False,9,13,Ghost Dog Pokémon,165,153,71,9,6,12,False,False,False
Houndstone,972,488,72,101,100,50,97,68,False,9,13,Ghost Dog Pokémon,203,153,71,9,6,12,False,False,False
Flamigo,973,500,82,115,74,75,64,90,False,8,6,Synchronize Pokémon,209,259,37,9,7,12,False,False,False
Cetoddle,974,334,108,68,45,30,40,43,False,12,13,Terra Whale Pokémon,265,226,217,9,6,12,False,False,False
Cetitan,975,521,170,113,65,45,55,73,False,12,13,Terra Whale Pokémon,265,224,217,9,6,12,False,False,False
Veluza,976,478,90,102,73,78,65,70,False,19,16,Jettison Pokémon,141,153,215,9,15,12,False,False,False
Dondozo,977,530,150,100,115,65,65,35,False,19,13,Big Catfish Pokémon,276,155,288,9,15,12,False,False,False
Tatsugiri,978,475,68,50,60,120,95,82,False,3,19,Mimicry Pokémon,32,153,245,9,15,12,False,False,False
Annihilape,979,535,110,115,80,50,90,90,False,6,9,Rage Monkey Pokémon,282,110,49,9,6,12,False,False,False
Clodsire,980,430,130,75,60,45,100,20,False,15,11,Spiny Fish Pokémon,169,285,276,9,6,14,False,False,False
Farigiraf,981,520,120,90,70,110,70,60,False,14,16,Long Neck Pokémon,39,10,207,9,6,12,False,False,False
Dudunsparce,982,520,125,100,80,85,75,55,False,14,13,Land Snake Pokémon,212,201,191,9,6,12,False,False,False
Dudunsparce(Three-Segment Form),982,520,125,100,80,85,75,55,False,14,13,Land Snake Pokémon,212,201,191,9,6,12,False,False,False
Kingambit,983,550,100,135,120,60,85,50,False,2,18,Big Blade Pokémon,49,250,175,9,9,12,False,False,False
Great Tusk,984,570,115,131,131,53,53,87,False,11,6,Paradox Pokémon,180,153,153,9,13,12,False,False,False
Scream Tail,985,570,115,65,99,65,115,111,False,5,16,Paradox Pokémon,180,153,153,9,13,12,False,False,False
Brute Bonnet,986,570,111,127,99,79,99,55,False,10,2,Paradox Pokémon,180,153,153,9,13,12,False,False,False
Flutter Mane,987,570,55,55,55,135,135,135,False,9,5,Paradox Pokémon,180,153,153,9,13,12,False,False,False
Slither Wing,988,570,85,135,79,85,105,81,False,1,6,Paradox Pokémon,180,153,153,9,13,12,False,False,False
Sandy Shocks,989,570,85,81,97,121,85,101,False,4,11,Paradox Pokémon,180,153,153,9,13,12,False,False,False
Iron Treads,990,570,90,112,120,72,70,106,False,11,18,Paradox Pokémon,185,153,153,9,13,12,False,False,False
Iron Bundle,991,570,56,80,114,124,60,136,False,12,19,Paradox Pokémon,185,153,153,9,13,12,False,False,False
Iron Hands,992,570,154,140,108,50,68,50,False,6,4,Paradox Pokémon,185,153,153,9,13,12,False,False,False
Iron Jugulis,993,570,94,80,86,122,80,108,False,2,8,Paradox Pokémon,185,153,153,9,13,12,False,False,False
Iron Moth,994,570,80,70,60,140,110,110,False,7,15,Paradox Pokémon,185,153,153,9,13,12,False,False,False
Iron Thorns,995,570,100,134,110,70,84,72,False,17,4,Paradox Pokémon,185,153,153,9,13,12,False,False,False
Frigibax,996,320,65,75,45,35,45,55,False,3,12,Ice Fin Pokémon,264,153,101,9,4,10,False,False,False
Arctibax,997,423,90,95,66,45,65,62,False,3,12,Ice Fin Pokémon,264,153,101,9,4,10,False,False,False
Baxcalibur,998,600,115,145,92,75,86,87,False,3,12,Ice Dragon Pokémon,264,153,101,9,4,10,False,False,False
Gimmighoul,999,300,45,30,70,75,70,10,False,9,13,Coin Chest Pokémon,191,153,153,9,13,12,False,False,False
Gimmighoul(Roaming Form),999,300,45,30,25,75,45,80,False,9,13,Coin Chest Pokémon,201,153,153,9,13,12,False,False,False
Gholdengo,1000,550,87,60,95,133,91,84,False,18,9,Coin Entity Pokémon,81,153,153,9,13,12,False,False,False
Wo-Chien,1001,570,85,85,100,95,135,70,False,2,10,Ruinous Pokémon,258,153,153,9,13,12,True,False,False
Chien-Pao,1002,570,80,120,80,90,65,135,False,2,12,Ruinous Pokémon,255,153,153,9,13,12,True,False,False
Ting-Lu,1003,570,155,110,125,55,80,45,False,2,11,Ruinous Pokémon,280,153,153,9,13,12,True,False,False
Chi-Yu,1004,570,55,80,80,135,120,100,False,2,7,Ruinous Pokémon,19,153,153,9,13,12,True,False,False
Roaring Moon,1005,590,105,139,71,55,101,119,False,3,2,Paradox Pokémon,180,153,153,9,13,12,False,False,False
Iron Valiant,1006,590,74,130,90,120,60,116,False,5,6,Paradox Pokémon,185,153,153,9,13,12,False,False,False
Koraidon,1007,670,100,135,115,85,100,135,False,6,3,Paradox Pokémon,157,153,153,9,13,12,False,True,False
Miraidon,1008,670,100,85,100,135,115,135,False,4,3,Paradox Pokémon,90,153,153,9,13,12,False,True,False
